,Review,Detail
0,My dogs love it - but currently out of stock,"Yes and yes! Both my border collie and Chihuahua mix love it! Only that now it’s out of stock and I have to switch to the chicken flavor- I prefer to choose fish because intuitively speaking it would provide more omega acid which should be beneficial to their health… but don’t have detailed stats or hard evidence for that. I have already purchased the yellow chicken bag, will update whether they like that flavor."
1,I've not had problems with this food,"I've had no problems with this brand of BB dog food.  I just started shipments 2 months ago.  After reading the 1 star comments I was concerned, but giving issues a thought it could be from over heating if delivered in summer.  Dogfood maybe dry but there is moisture in it to an extent.  If it goes from cool to hot moisture can occur (even with the dog food in the stores).  I will certainly keep an eye on my dogs delivered food.  But, I am not going to stop my shipments unless it is during a very HOT stretch of summer then I may pause shipments for those months.  I do have to say BB is very good dog food.  I own 7 Miniature Australian Shepherds and 1 toy Dachshund. 1 Aussie has some food allergies that dissappear with this food."
2,Inconsistent quality,"My dog has been eating this dog food for 10 years now. I have noticed that when I order it from Amazon the bags contents are very different from one to the other. Color, size, smell and sometimes the points cards are missing which makes me think the bags are very old. This last order the pieces were smaller and smelled better. Previous order they were bigger and lighter in color. When it comes to amazon I'm always worried about dupes and when it comes to consumables that can be dangerous."
3,My dog loves it!,"My dogs have been eating this a few years now and they love it. One of my dogs has pancreatitis and he was on prescription dog food for awhile, but it was insanely expensive. When I found this dog food, we tried it out and have had no issues at all."
4,My dogs love this and they eat it all,My dogs eat anything but I noticed they take their time with some food eating it or don’t eat it at all but with this they eat it all and even have more energy
5,Nutritious and apparently tastes good,We feed blue buffalo products to our Heeler and our lab/Pitt mix.
6,Best dog food,Love the convenience of having it delivered to my door. Best dog food for my pugs. Fast delivery
7,Size,Smaller than I expected for the price. Better deal at Sam’s
8,Good  Food,"Most dogs take some time to adjust to new food, but I mixed this in with his previous dry food for a while, and he was soon ready to eat this on its own. He likes it in addition to the cooked turkey or chicken I put on top for meals. This is more nutritious than his previous dry food, so I’m happy."
9,Great Food,I have 3 shiatzu's and they love this food and the fish flavor. It has helped my oldest with his digestive problems. Highly recommend
10,Good quality,Dog loves it
11,Most important— my dog likes it,Comes in small pieces which is important for a small dog
12,Great for picky dog eaters.,"my dog is a picky eater. will avoid kibble for days until shes starved enough to stomach it. Have tried many brands. Shell eat this without much hassle. She still isnt the biggest fan, only eats about 2/3 of her meal.This also smells the best from all the other kibbles we've had. theres a strong smell of soysauce on it. I think that helps."
13,My dogs love it,"My dogs get tired of their food regularly but this, they love"
14,The only food my dog eats,My dog has been eating this for the last year. It isn't the best overall dry food but is far from the worst. It is a good quality choice.
15,My dog loves it,My dog loves this product. Will return if this turns out to be a healthy choice for him.
16,"Its great for your dog, and no waste.","My dog likes the taste, and is staying heathy and lean."
17,Great Product,My dogs love this product. They seem to have more energy. Not weighed down with all the additives.
18,The dogs balked at the previous dry food. They eat this kind.,"I used to think all dogs were always hungry and would always eat. My current pack is nothing like that. I switch around with both wet and dry dog food, as well as whether the pack gets dry in the morning, wet for dinner, or vice versa, sometimes the same thing both times. And snacks. Lots of snacks. I try to keep them from getting bored while also developing a familiarity, two obviously contradictory goals. They generally stop eating any kind of dry food I've given them, from Purina to Nutra Nugget, after a while. This one, Blue Buffalo, they'll still turn up their nose to, if they can weasel their way into getting me to make them burgers or salmon or chicken (their favorite.) Instead of picking through their bowls for the meat and leaving the dry food to sit until later (just before bed), they'll eat this too. I don't have high expectations, so having them eat what I give them, when I give it to them, counts as a win for me."
19,Our dogs love it,Our boxer and mixed German Sheppard love the food and haven't had any issues. We will continue to order.
20,Exactly what I wanted!!,"Great healthy dog food, normal price point, fast delivery!"
21,Great quality,Fast shipping and great quality as always
22,Quality food,Price was high but quality is good
23,My dogs seem to love it,"My Rottie was having skin issues, since I’ve put him on Blue Buffalo, the problem has cleared! I honestly think it was something in the other dog foods he was allergic to."
24,Dog loves the flavor.,"I was looking for a new dog food for my dog. Came across this, and she loves it"
25,7 Dogs love it,My dogs love the flavor and texture.  Also good for their teeth
26,dog loves this food her coat is a lot softer,she loves this food and her energy is a little more than before. Thanks for being on prime!!
27,Great Product and very good price.,"Search a lot of other foods and for the size and quality, this is the one I need for my dog."
28,my dog loves this food,This is very high quality dog food that my dog loves.
29,Happy with this for my dog,We're happy with this dog food. My dog seems to like it.
30,Good product.WAY OVERPRICED,"Too costly. I like the product for my pets, but it can't be returned so try to find a local vendor."
31,No more scratching,"We have at least one dog that is allergic to poultry.  This is far cheaper than buying  it at Publix, plus the dogs are no longer scratching and in misery.  So much easier to have it delivered than for my disabled son to try and hoist it out of the trunk once we are home."
32,Not suitable for picky eaters,"My dogs typically aren’t picky and they were very finicky with this food. They barely at any of it. I decided to order another flavor. Hopefully they like the beef flavor. HOWEVER, my cat would not stay away from this dog food. We had to pick up the bowls so he would not eat it."
33,Nice small easily digested nuggets.,Dog ate this first time I  fed  her this  new dogfood. Also enjoyed when mixed with canned food.
34,Blue Buffalo Dry Dog Food,My two large dogs have always done well with BB dog food. They've been eating it since they were pups. I received a big bag of dry Lamb & rice food rvery 2 weeks. The food has always been good quality with high protein & low fat.I recommend.
35,My dogs love this,"I was looking for something healthier to feed my dogs and they seem to love this.  My only complaint is the price, I wish it were cheaper."
36,Blue buffalo food,This is the only food we use for our fur babies.
37,Better ingredients than prior dog food,"One of our dogs has allergies and weight issues.  So far, this food is helping.  We want to get him to a healthy weight, but also not make his skin allergies worse."
38,good stuff,;good stuff
39,Dogs have been sick for a week,"I agree with another reviewer. My 2 dogs have been eaten this food for a long time. However, during the past week and a half, both have been showing signs of not feeling well. I suspected the food. Then last night, one of the dogs had a major attack of diarhea on the kitchen floor (yeah, smart dog). I'm going to toss mine too and head over to the local source. It might be the heat causing the food to go bad. I just thought others should know about this too."
40,Will stick with B. B.,Tried the Amazon brand food bc I am cheap. It really messed with my dog's gut. They all were gassy and stinky. Bought Blue Buffalo afterwards and hoped the splurge would fix the problem. It did! I am so glad. I won't stray again.
