,Review,Detail
0,Doesn't taste like chicken!,"OK, we all know times are tough and inflation is causing everybody to cut corners. But this tastes nothing like chicken.Meals for my family can get extremely expensive. Like every other hard working American I've been looking for a little filler to stretch our suppers out and save a few bucks. My family owes a lot to Purina. They have gotten us through tough times before. But now that my wife got promoted to weekend manager at Hardees we were looking to upgrade to a more classy supper.This Purina tastes nothing like chicken. We first tried it on Taco Tuesday but it made the tacos taste bland. The next day we tried the Purina with potatoes and green beans but Purina just soaked up the gravy and got soggy. It didn’t even make good gravy stock. Disappointing. The final straw was our tater tot hotdish. I used the Purina instead of hamburger but again it just soaked up the cream of mushroom and got soggy.The only saving grace is that my five year old enjoys Purina with chocolate milk for her morning cereal. Unfortunately, it’s going to take her a year to eat through a 50 pound bag, which I don’t mind, but the mice keep going in the bag stealing some kernels. Who has time to flick off mice poop every meal? We have been letting her eat her Purina cereal for all three meals but that’s not healthy for a growing kid either.Added bonus…….My daughter's hair looks amazing after a month of eating Purina cereal. Her long brown hair shines and flows like a donkey's mane. She looks like a young Nancy Reagan.For those of you with teenage daughters, feel free to check out my review for Fancy Feast Natural Trout and Tuna. My 16 year old started eating a can for lunch and supper for two months and she looked amazing in her prom dress."
1,Purina Pro Plan with Probiotics!,I buy this for my dog who is about 13 years old. He is not usually picky and he likes this food a lot. He has some issues with sore joints at his age and with the probiotics and other ingredients in this food it seems to help with his joints. This food is better than what I gave him before.
2,Amazing product,Received this product today while putting it in the containers my dogs came up and couldn’t keep their mouths out of the container trying to eat it I gave him a little sample and they kept coming back for more and more even my cats were begging for some reading the reviews I see there’s problems with this have to keep my eyes open but so far so good
3,Product is fine - delivery stunk.,"Our dog really loves this food.  My only gripe is the delivery person left it outside about 100 yds from our house.  It's a heavy bag and if it would have rained while we were not home, the whole bag of food would have been ruined.  I was generous to give it four stars but I don't want to give the manufacturer a bad rating since the product is good.  If the delivery issue is not resolved, I will be cancelling my recurring order."
4,My dogs love it,Bought because of the healthy ingredients. We have dogs from 35 pounds down to 5 pounds and they all love the taste. One of our dogs is a finicky eater and she loves the taste of this food. My dogs seem to not have any issues with the size texture or digestion. I recommend this food. The price is not issue for us as we want our dogs to have a healthy choice of food.
5,My dogs love this food!!!,"This came highly recommended by my vet, and I agree that it's a great product. All the essentials my dogs need, and they love the taste! Highly recommend."
6,Vet recommended and it’s soft on sensitive tummies.,Like that I can trust food.  USA made is a plus we’ll no it’s mandatory for my group.
7,My dogs have always looked great on Proplan,My dogs have loved Proplan since I first started buying it in 1985. I’ve tried other premium food but always come back to Proplan.
8,My dogs love it!,My dogs love it!
9,Good for pet,"This is a good food, it has alot of natural ingredients in it."
10,Picky dogs loved it,Have a really picky husky couldn’t keep her nose out of the bag. Don’t quote me on it but I think there’s actual chicken in the kibble? Looks like it’s maybe freeze dried. The dogs couldn’t get enough of what ever it is.
11,Woof woof,"Well I didn't eat it personally but my dogs did so according to them, woof woof"
12,A little pricey,A little pricey/ how ever it is a good middle of the road food for my dog. It isn’t the cheapest- poor quality and not the most expensive- high  quality …. It’s in the middle. My dog loves the chucks of chicken in it.
13,Great food,Very convenient to have it auto ship. My dog loves it
